Ticker,Name,Exchange,Date,Close,ChangePct,Volume,Avg20,Ratio,Streak
CF,CF Industries,NYSE,2026-09-02,139.27,2.71,4440167,2559915,1.73,3
ETR,Entergy,NYSE,2026-09-02,106.75,-0.25,3355281,1955135,1.72,1
WFC,Wells Fargo,NYSE,2026-09-02,89.27,2.56,20553650,12044155,1.71,3
NTAP,NetApp,NYSE,2026-09-02,180.77,-1.3,3895915,2351490,1.66,1
ORLY,O'Reilly Automotive,NASDAQ,2026-09-02,86.97,-1.11,7549756,4571345,1.65,1
IRM,Iron Mountain,NYSE,2026-09-02,111.84,-2.08,2651685,1618875,1.64,3
AVGO,Broadcom,NASDAQ,2026-09-02,367.24,-0.66,30822042,19132340,1.61,1
DE,Deere & Company,NYSE,2026-09-02,698.37,3.3,2026254,1262060,1.61,3
D,Dominion Energy,NYSE,2026-09-02,66.05,-0.5,5853991,3719605,1.57,3
MRSH,Marsh McLennan,NYSE,2026-09-02,187.84,0.14,3011669,1919165,1.57,1
CBRE,CBRE Group,NYSE,2026-09-02,142.06,-1.66,2174144,1380855,1.57,3
CMI,Cummins,NYSE,2026-09-02,550.9,-0.05,1357356,868510,1.56,1
RJF,Raymond James Financial,NYSE,2026-09-02,175.95,1.41,1563862,1019075,1.53,4
A,Agilent Technologies,NYSE,2026-09-02,151.39,0.97,3077508,2074555,1.48,9
VRTX,Vertex Pharmaceuticals,NASDAQ,2026-09-02,556.75,1.66,1734185,1177080,1.47,1
SRE,Sempra,NYSE,2026-09-02,83.79,-0.56,6498576,4422540,1.47,4
CIEN,Ciena,NYSE,2026-09-02,354.16,-1.71,2838379,1938425,1.46,1
PAYX,Paychex,NASDAQ,2026-09-02,124.0,-1.31,3246846,2228465,1.46,1
F,Ford Motor Company,NYSE,2026-09-02,14.14,2.17,58045480,40316525,1.44,2
PEG,Public Service Enterprise Group,NYSE,2026-09-02,73.32,-0.22,3577375,2489225,1.44,3
ODFL,Old Dominion,NASDAQ,2026-09-02,187.61,0.32,2130829,1483190,1.44,2
CFG,Citizens Financial Group,NYSE,2026-09-02,69.78,2.38,4221311,2929660,1.44,3
