Code,Close,Volume,VolumeTotal,Amount,AmountTotal,Market,ChangesRatio
375500,61200.0,359374.0,359374.0,21993688800.0,21993688800.0,KOSPI,4.62
383220,61800.0,403680.0,542386.0,24947424000.0,33519454800.0,KOSPI,-23.23
426030,44950.0,611818.0,611818.0,27501219100.0,27501219100.0,KOSPI,-1.72
011170,55200.0,96921.0,148928.0,5350039200.0,8220825600.0,KOSPI,-2.3
081660,44000.0,158250.0,165909.0,6963000000.0,7299996000.0,KOSPI,-2.55
001720,140500.0,6020.0,7260.0,845810000.0,1020030000.0,KOSPI,0.14
450080,32600.0,288931.0,288931.0,9419150600.0,9419150600.0,KOSPI,1.24
161890,96800.0,164882.0,270412.0,15960577600.0,26175881600.0,KOSPI,1.68
004370,375000.0,18847.0,26702.0,7067625000.0,10013250000.0,KOSPI,-2.09
161510,24120.0,826114.0,826114.0,19925869680.0,19925869680.0,KOSPI,-1.99
279570,5550.0,675422.0,675422.0,3748592100.0,3748592100.0,KOSPI,-0.72
472150,18930.0,3841720.0,3841720.0,72723759600.0,72723759600.0,KOSPI,-6.24
486290,10650.0,1270818.0,1270818.0,13534211700.0,13534211700.0,KOSPI,0.28
004990,22400.0,103820.0,140101.0,2325568000.0,3138262400.0,KOSPI,-0.88
014680,206500.0,33720.0,39199.0,6963180000.0,8094593500.0,KOSPI,-0.72
204320,46900.0,1104059.0,1104059.0,51780367100.0,51780367100.0,KOSPI,4.92
489790,43500.0,252893.0,440362.0,11000845500.0,19155747000.0,KOSPI,3.57
030000,18950.0,227414.0,280992.0,4309495300.0,5324798400.0,KOSPI,0.11
456600,57415.0,244827.0,244827.0,14056742205.0,14056742205.0,KOSPI,0.74
005440,11780.0,111149.0,138756.0,1309335220.0,1634545680.0,KOSPI,0.0
139480,78200.0,93485.0,134414.0,7310527000.0,10511174800.0,KOSPI,-2.01
278540,35365.0,44205.0,44205.0,1563309825.0,1563309825.0,KOSPI,-7.11
282330,122000.0,60035.0,63842.0,7324270000.0,7788724000.0,KOSPI,-2.4
192820,185500.0,57032.0,84657.0,10579436000.0,15703873500.0,KOSPI,0.43
006360,24250.0,2494954.0,2494954.0,60502634500.0,60502634500.0,KOSPI,3.41
007070,24400.0,204434.0,228187.0,4988189600.0,5567762800.0,KOSPI,-1.41
085620,15030.0,93940.0,93940.0,1411918200.0,1411918200.0,KOSPI,-2.97
051600,44600.0,67866.0,100597.0,3026823600.0,4486626200.0,KOSPI,-0.78
385540,102895.0,12354.0,12354.0,1271164830.0,1271164830.0,KOSPI,-0.18
284430,20310.0,860187.0,860187.0,17470397970.0,17470397970.0,KOSPI,-4.65
002790,25300.0,114286.0,153860.0,2891435800.0,3892658000.0,KOSPI,-0.78
