Code,Close,Volume,Amount,Market,ChangesRatio
073240,7290.0,21147147.0,154162701630.0,KOSPI,19.9
085620,15490.0,141556.0,2192702440.0,KOSPI,8.63
007070,24750.0,200515.0,4962746250.0,KOSPI,0.61
018670,223500.0,17344.0,3876384000.0,KOSPI,-1.32
385540,103085.0,5515.0,568513775.0,KOSPI,0.38
292150,37575.0,1560330.0,58629399750.0,KOSPI,20.59
051600,44950.0,89334.0,4015563300.0,KOSPI,3.45
006360,23450.0,3094073.0,72556011850.0,KOSPI,5.39
103140,71200.0,284573.0,20261597600.0,KOSPI,18.86
002790,25500.0,152809.0,3896629500.0,KOSPI,-0.39
439260,50100.0,92062.0,4612306200.0,KOSPI,2.14
214980,114615.0,33572.0,3847854780.0,KOSPI,0.02
462870,31600.0,58155.0,1837698000.0,KOSPI,2.43
294400,142690.0,136648.0,19498303120.0,KOSPI,23.88
0195S0,9445.0,51365415.0,485146344675.0,KOSPI,59.81
442580,103770.0,1416654.0,147006185580.0,KOSPI,28.07
000155,439500.0,22453.0,9868093500.0,KOSPI,20.41
105190,106000.0,540737.0,57318122000.0,KOSPI,20.98
008770,43550.0,462976.0,20162604800.0,KOSPI,1.63
000120,74500.0,59163.0,4407643500.0,KOSPI,1.5
071970,49450.0,734155.0,36303964750.0,KOSPI,3.24
477080,107210.0,4539.0,486626190.0,KOSPI,0.03
395400,5480.0,237701.0,1302601480.0,KOSPI,-2.32
441640,12825.0,1284470.0,16473327750.0,KOSPI,1.06
446770,79415.0,629080.0,49958388200.0,KOSPI,15.88
336260,24550.0,1755895.0,43107222250.0,KOSPI,29.89
023590,36650.0,105771.0,3876507150.0,KOSPI,7.32
457190,52400.0,142726.0,7478842400.0,KOSPI,10.55
011210,58200.0,128453.0,7475964600.0,KOSPI,7.58
112610,37300.0,325038.0,12123917400.0,KOSPI,4.92
487230,20665.0,1007849.0,20827199585.0,KOSPI,12.77
006040,35400.0,69342.0,2454706800.0,KOSPI,0.71
475150,45450.0,9118629.0,414441688050.0,KOSPI,8.73
610063,55610.0,10.0,556100.0,KOSPI,0.04
453850,7210.0,1034590.0,7459393900.0,KOSPI,0.77
001800,25500.0,86002.0,2193051000.0,KOSPI,0.59
0177N0,14340.0,7808707.0,111976858380.0,KOSPI,16.11
466920,28170.0,1374382.0,38716340940.0,KOSPI,6.44
379780,23130.0,243470.0,5631461100.0,KOSPI,1.43
475630,1073145.0,43769.0,46970483505.0,KOSPI,0.01
368590,29955.0,201479.0,6035303445.0,KOSPI,3.31
329200,4015.0,4049719.0,16259621785.0,KOSPI,0.0
00680K,10940.0,242671.0,2654820740.0,KOSPI,13.02
001740,7320.0,2051095.0,15014015400.0,KOSPI,13.49
152100,109725.0,493039.0,54098704275.0,KOSPI,23.21
305720,12785.0,5099547.0,65197708395.0,KOSPI,6.06
001120,37400.0,164913.0,6167746200.0,KOSPI,4.76
120110,48050.0,254936.0,12249674800.0,KOSPI,4.34
020560,6960.0,64137.0,446393520.0,KOSPI,3.57
020150,27350.0,168526.0,4609186100.0,KOSPI,12.32
089860,39350.0,112742.0,4436397700.0,KOSPI,4.79
315930,81605.0,111940.0,9134863700.0,KOSPI,18.27
097230,15700.0,445514.0,6994569800.0,KOSPI,9.87
281820,69800.0,333167.0,23255056600.0,KOSPI,26.68
006280,115900.0,30013.0,3478506700.0,KOSPI,1.49
091230,127300.0,1038921.0,132254643300.0,KOSPI,28.98
298020,308000.0,26620.0,8198960000.0,KOSPI,3.18
436140,106465.0,17164.0,1827365260.0,KOSPI,0.51
069620,113800.0,155517.0,17697834600.0,KOSPI,-9.25
157450,112310.0,34970.0,3927480700.0,KOSPI,0.02
294870,19850.0,237604.0,4716439400.0,KOSPI,2.48
082640,8330.0,121733.0,1014035890.0,KOSPI,1.34
415640,10590.0,77711.0,822959490.0,KOSPI,2.32
007310,323500.0,5820.0,1882770000.0,KOSPI,-1.67
390390,54045.0,1401129.0,75724016805.0,KOSPI,9.19
448330,17300.0,1469195.0,25417073500.0,KOSPI,8.5
192080,60100.0,77422.0,4653062200.0,KOSPI,0.17
322000,112100.0,379911.0,42588023100.0,KOSPI,10.88
229640,40350.0,143109.0,5774448150.0,KOSPI,18.5
003540,25850.0,106721.0,2758737850.0,KOSPI,7.93
181710,37100.0,108463.0,4023977300.0,KOSPI,9.76
438080,14300.0,710484.0,10159921200.0,KOSPI,0.25
009155,416000.0,78117.0,32496672000.0,KOSPI,30.0
001430,33300.0,125348.0,4174088400.0,KOSPI,4.39
012630,19960.0,74693.0,1490872280.0,KOSPI,4.5
497570,21995.0,1445019.0,31783192905.0,KOSPI,9.67
0072R0,12450.0,339148.0,4222392600.0,KOSPI,0.85
004000,44650.0,120747.0,5391353550.0,KOSPI,-1.87
000815,383000.0,16749.0,6414867000.0,KOSPI,1.46
232080,12285.0,3771336.0,46330862760.0,KOSPI,13.43
494890,30435.0,1207581.0,36752727735.0,KOSPI,20.61
479080,53610.0,48322.0,2590542420.0,KOSPI,0.03
007810,46450.0,544933.0,25312137850.0,KOSPI,20.65
017960,21350.0,300109.0,6407327150.0,KOSPI,7.88
451540,52925.0,2215.0,117228875.0,KOSPI,0.4
030610,9600.0,90659.0,870326400.0,KOSPI,9.71
361610,13260.0,342308.0,4539004080.0,KOSPI,1.38
000080,15400.0,134176.0,2066310400.0,KOSPI,-1.79
005070,32450.0,114959.0,3730419550.0,KOSPI,15.89
0195R0,11550.0,20631123.0,238289470650.0,KOSPI,51.18
469150,55915.0,1205122.0,67384396630.0,KOSPI,29.99
356540,101450.0,1810.0,183624500.0,KOSPI,0.49
469830,54220.0,267751.0,14517459220.0,KOSPI,0.01
330590,3615.0,252941.0,914381715.0,KOSPI,-1.63
479520,106115.0,4187.0,444303505.0,KOSPI,0.0
226490,67850.0,1210811.0,82153526350.0,KOSPI,18.09
003570,30800.0,112249.0,3457269200.0,KOSPI,0.16
300720,13900.0,96354.0,1339320600.0,KOSPI,1.76
006340,13000.0,15725743.0,204434659000.0,KOSPI,25.97
446720,13885.0,501070.0,6957356950.0,KOSPI,-1.59
066575,59100.0,114660.0,6776406000.0,KOSPI,10.47
0183J0,6900.0,2050461.0,14148180900.0,KOSPI,7.98
445290,28500.0,1134352.0,32329032000.0,KOSPI,14.0
449450,49870.0,567816.0,28316983920.0,KOSPI,8.53
760009,107070.0,14.0,1498980.0,KOSPI,0.02
465580,23665.0,317141.0,7505141765.0,KOSPI,2.94
0117L0,10135.0,12446.0,126140210.0,KOSPI,0.05
0139F0,101805.0,1.0,101805.0,KOSPI,0.01
237350,85220.0,714854.0,60919857880.0,KOSPI,21.12
530031,2395.0,1430170.0,3425257150.0,KOSPI,-9.28
093370,9000.0,6490927.0,58418343000.0,KOSPI,29.87
449180,16700.0,662290.0,11060243000.0,KOSPI,2.08
003240,857000.0,2794.0,2394458000.0,KOSPI,0.59
003090,16330.0,65570.0,1070758100.0,KOSPI,-0.91
280360,103000.0,24231.0,2495793000.0,KOSPI,-2.83
402970,15410.0,366132.0,5642094120.0,KOSPI,-1.66
495050,31600.0,507798.0,16046416800.0,KOSPI,15.01
494300,9325.0,1310868.0,12223844100.0,KOSPI,3.21
005300,101000.0,30448.0,3075248000.0,KOSPI,-2.88
192400,26300.0,12407.0,326304100.0,KOSPI,1.54
032350,11620.0,243537.0,2829899940.0,KOSPI,2.92
077970,23050.0,307771.0,7094121550.0,KOSPI,13.83
009450,63500.0,33342.0,2117217000.0,KOSPI,3.42
185750,66900.0,25108.0,1679725200.0,KOSPI,-0.45
295040,40240.0,133114.0,5356507360.0,KOSPI,22.29
009240,38900.0,60702.0,2361307800.0,KOSPI,-0.64
438100,15425.0,450413.0,6947620525.0,KOSPI,1.45
451800,5090.0,162076.0,824966840.0,KOSPI,2.93
051915,118600.0,26277.0,3116452200.0,KOSPI,4.49
000210,42950.0,96764.0,4156013800.0,KOSPI,3.25
034230,9700.0,292249.0,2834815300.0,KOSPI,2.65
006120,51500.0,43670.0,2249005000.0,KOSPI,10.75
079160,5410.0,813022.0,4398449020.0,KOSPI,-0.37
003530,4150.0,1577269.0,6545666350.0,KOSPI,12.93
071055,150500.0,27351.0,4116325500.0,KOSPI,10.66
494310,72520.0,5124556.0,371632801120.0,KOSPI,59.98
455850,20305.0,2470432.0,50162121760.0,KOSPI,26.0
0117V0,16095.0,2506361.0,40339880295.0,KOSPI,21.89
153130,113300.0,19095.0,2163463500.0,KOSPI,0.04
003470,4380.0,425139.0,1862108820.0,KOSPI,10.89
030190,14110.0,83907.0,1183927770.0,KOSPI,-1.74
195870,48200.0,309474.0,14916646800.0,KOSPI,26.34
036530,49950.0,47781.0,2386660950.0,KOSPI,0.0
371460,11005.0,143931.0,1583960655.0,KOSPI,-0.81
365550,3290.0,299793.0,986318970.0,KOSPI,-3.8
114800,1046.0,1963443326.0,2053761718996.0,KOSPI,-22.11
385560,52530.0,49439.0,2597030670.0,KOSPI,0.87
476550,6865.0,1629804.0,11188604460.0,KOSPI,0.66
305540,16135.0,725370.0,11703844950.0,KOSPI,6.12
100090,12520.0,1715016.0,21472000320.0,KOSPI,6.55
071320,67100.0,19048.0,1278120800.0,KOSPI,1.36
481060,7460.0,557192.0,4156652320.0,KOSPI,0.27
475720,11900.0,1124928.0,13386643200.0,KOSPI,9.68
069660,108675.0,140131.0,15228736425.0,KOSPI,23.9
466940,25780.0,833804.0,21495467120.0,KOSPI,1.26
498410,11500.0,3232240.0,37170760000.0,KOSPI,-0.99
441800,28450.0,375873.0,10693586850.0,KOSPI,11.79
0048J0,14240.0,761206.0,10839573440.0,KOSPI,-0.8
137310,6350.0,120979.0,768216650.0,KOSPI,2.92
214320,19030.0,93291.0,1775327730.0,KOSPI,-0.52
0061Z0,50890.0,19964.0,1015967960.0,KOSPI,0.03
0025N0,12125.0,492942.0,5976921750.0,KOSPI,1.68
490590,13795.0,953930.0,13159464350.0,KOSPI,8.62
001820,71600.0,834039.0,59717192400.0,KOSPI,23.88
272580,56955.0,56718.0,3230373690.0,KOSPI,0.01
0177R0,10845.0,3103573.0,33658249185.0,KOSPI,28.95
298050,160800.0,16954.0,2726203200.0,KOSPI,9.24
457480,17395.0,415590.0,7229188050.0,KOSPI,6.29
144600,9555.0,432228.0,4129938540.0,KOSPI,2.47
004490,51500.0,26031.0,1340596500.0,KOSPI,5.53
458760,11220.0,473486.0,5312512920.0,KOSPI,-1.67
102970,19090.0,1241237.0,23695214330.0,KOSPI,11.51
064960,26500.0,81536.0,2160704000.0,KOSPI,4.54
003850,8190.0,96323.0,788885370.0,KOSPI,4.33
456610,61660.0,44161.0,2722967260.0,KOSPI,-0.84
499790,35250.0,168990.0,5956897500.0,KOSPI,2.32
580058,53690.0,4.0,214760.0,KOSPI,0.02
0167B0,11575.0,2879432.0,33329425400.0,KOSPI,19.27
495850,31420.0,312426.0,9816424920.0,KOSPI,15.92
285130,39350.0,68313.0,2688116550.0,KOSPI,1.42
487340,105555.0,18600.0,1963323000.0,KOSPI,0.01
0127P0,10520.0,6911.0,72703720.0,KOSPI,2.53
000370,5660.0,826394.0,4677390040.0,KOSPI,0.18
455030,12245.0,153827.0,1883611615.0,KOSPI,-0.45
093050,22400.0,34464.0,771993600.0,KOSPI,1.82
290130,45775.0,243865.0,11162920375.0,KOSPI,20.86
329750,13460.0,293437.0,3949662020.0,KOSPI,-0.7
002960,498500.0,2115.0,1054327500.0,KOSPI,0.81
248070,13550.0,141911.0,1922894050.0,KOSPI,6.86
138540,49600.0,322251.0,15983649600.0,KOSPI,7.6
0015B0,19245.0,971235.0,18691417575.0,KOSPI,10.16
491010,25465.0,147821.0,3764261765.0,KOSPI,10.19
367760,53755.0,469854.0,25257001770.0,KOSPI,30.0
482730,11980.0,569915.0,6827581700.0,KOSPI,1.31
293940,5220.0,210469.0,1098648180.0,KOSPI,-1.69
371160,7505.0,585530.0,4394402650.0,KOSPI,-0.92
005180,67700.0,15656.0,1059911200.0,KOSPI,0.74
314250,57840.0,99341.0,5745883440.0,KOSPI,4.49
025540,61900.0,14679.0,908630100.0,KOSPI,5.99
423920,88645.0,214506.0,19014884370.0,KOSPI,21.81
000670,33650.0,26856.0,903704400.0,KOSPI,4.5
252670,82.0,18392689335.0,1508200525470.0,KOSPI,-42.66
456040,68900.0,73714.0,5078894600.0,KOSPI,10.77
434060,16865.0,182825.0,3083343625.0,KOSPI,2.93
268280,123100.0,2810.0,345911000.0,KOSPI,-1.36
001680,17720.0,115468.0,2046092960.0,KOSPI,-2.74
317450,42000.0,18491.0,776622000.0,KOSPI,1.82
069260,14890.0,69531.0,1035316590.0,KOSPI,1.64
005690,10130.0,804924.0,8153880120.0,KOSPI,15.64
484790,8300.0,530185.0,4400535500.0,KOSPI,0.85
434730,50825.0,204625.0,10400065625.0,KOSPI,16.36
002350,6180.0,242899.0,1501115820.0,KOSPI,1.15
017940,87900.0,10666.0,937541400.0,KOSPI,3.05
005880,1860.0,2658179.0,4944212940.0,KOSPI,7.27
014820,20600.0,63566.0,1309459600.0,KOSPI,2.23
000640,88200.0,13705.0,1208781000.0,KOSPI,2.8
000400,1903.0,937846.0,1784720938.0,KOSPI,-1.91
251600,15220.0,328595.0,5001215900.0,KOSPI,1.4
383800,7710.0,136134.0,1049593140.0,KOSPI,3.63
005090,40750.0,160345.0,6534058750.0,KOSPI,12.72
453340,18080.0,35040.0,633523200.0,KOSPI,-1.42
489250,13075.0,453743.0,5932689725.0,KOSPI,-1.54
466950,30840.0,215825.0,6656043000.0,KOSPI,11.88
396520,14245.0,1540955.0,21950903975.0,KOSPI,2.22
114090,9380.0,115964.0,1087742320.0,KOSPI,0.43
364980,8845.0,2871244.0,25396153180.0,KOSPI,5.93
075580,10120.0,309085.0,3127940200.0,KOSPI,9.17
003620,2840.0,600691.0,1705962440.0,KOSPI,7.37
003160,20150.0,652430.0,13146464500.0,KOSPI,22.34
094800,6140.0,25541.0,156821740.0,KOSPI,2.85
494670,22135.0,800422.0,17717340970.0,KOSPI,5.18
007700,14540.0,27152.0,394790080.0,KOSPI,-0.68
449190,21440.0,388576.0,8331069440.0,KOSPI,4.13
700028,161850.0,3733.0,604186050.0,KOSPI,54.5
114260,61775.0,14144.0,873745600.0,KOSPI,0.27
418660,39845.0,972188.0,38736830860.0,KOSPI,6.52
108320,34200.0,96953.0,3315792600.0,KOSPI,11.4
006650,85500.0,71662.0,6127101000.0,KOSPI,-4.26
002840,123200.0,7908.0,974265600.0,KOSPI,-2.92
003300,17850.0,27305.0,487394250.0,KOSPI,1.71
001060,23500.0,29220.0,686670000.0,KOSPI,3.98
010780,18030.0,50705.0,914211150.0,KOSPI,5.44
016380,5440.0,366928.0,1996088320.0,KOSPI,1.12
0019K0,13315.0,583649.0,7771286435.0,KOSPI,4.76
438330,115475.0,4254.0,491230650.0,KOSPI,0.31
001270,51800.0,3567.0,184770600.0,KOSPI,6.91
462330,808.0,82827087.0,66924286296.0,KOSPI,10.99
